source,source_type,target,target_type,effect,edge_type,confidence,mechanism,doi,paper_title,authors,year,journal,evidence_sentence,verification,species_validated
FdhF,GENE,Acetyl_CoA,METABOLITE,inhibition,competing_sink,MEDIUM,FdhF (formate dehydrogenase H) consumes formate; deletion alters C1 and NADPH pools; combined aceE/fdhF/gdhA triple-KO gave ~40% lycopene improvement.,,,,,,seven mutants...identified...37% improvement in lycopene yield in a gdhA/aceE/fdhF triple-knockout construct,,
GdhA,GENE,NADPH,METABOLITE,inhibition,cofactor_drain,HIGH,"GdhA (glutamate dehydrogenase, NADPH-dependent) consumes NADPH to produce glutamate. KO of gdhA spares NADPH for MEP pathway reductions (IspC, IspG, IspH, HMGR) and downstream crtI desaturation.",,,,,,gdhA deletion could increase the availability of NADPH,,
Pta,GENE,Acetyl_CoA,METABOLITE,inhibition,competing_sink,MEDIUM,"Pta (phosphotransacetylase) converts acetyl-CoA to acetyl-phosphate, leading to acetate excretion. KO reduces acetate overflow but also affects acetyl-CoA availability for MVA pathway.",,,,,,deletion of the acetate and lactate production pathways...elimination of the acetate pathway,,
Ldh,GENE,Pyruvate,METABOLITE,inhibition,competing_sink,LOW,Ldh (lactate dehydrogenase) consumes pyruvate to lactate under microaerobic conditions. KO reduces pyruvate drain.,,,,,,lactate production pathways,,
Acetyl_CoA,METABOLITE,Mevalonate,METABOLITE,activation,metabolic_pool,HIGH,"The MVA pathway initiates with 3x acetyl-CoA, condensed by AtoB (thiolase) and HMGS (HMG-CoA synthase), then reduced by HMGR to mevalonate.",,,,,,"MVA pathway initiates with acetyl-CoA, which is converted into MVA through three reactions, catalyzed by acetoacetyl-CoA thiolase (ACCT), 3-hydroxy-3-methylglutaryl-CoA (HMG-CoA) synthase (HMGS)",,
AtoB,GENE,Mevalonate,METABOLITE,activation,enzymatic_heterologous,HIGH,AtoB / MvaE (acetoacetyl-CoA thiolase) catalyses the first committed step of MVA (2 acetyl-CoA -> acetoacetyl-CoA). Heterologously expressed from E. faecalis (as mvaE bifunctional) or S. cerevisiae.,,,,,,mvaE and mvaS...catalyzes the conversion from acetyl-CoA to mevalonic acid,,
HMGS,GENE,Mevalonate,METABOLITE,activation,enzymatic_heterologous,HIGH,HMGS / MvaS (HMG-CoA synthase) condenses acetoacetyl-CoA + acetyl-CoA -> HMG-CoA. Heterologously expressed from E. faecalis or S. cerevisiae.,,,,,,"catalyzed by acetoacetyl-CoA thiolase (ACCT), 3-hydroxy-3-methylglutaryl-CoA (HMG-CoA) synthase (HMGS) and HMG-CoA reductase (HMGR)",,
HMGR,GENE,Mevalonate,METABOLITE,activation,enzymatic_heterologous,HIGH,"HMGR (HMG-CoA reductase) reduces HMG-CoA to mevalonate using 2x NADPH. Truncated form (tHMGR) lacking membrane anchor is commonly used and more active; heterologously from S. cerevisiae, E. faecalis, or X. dendrorhous.",,,,,,"overexpressed tHMGR from X. dendrorhous, a truncated form of HMGR...2.2-fold enhancement in beta-carotene production",,
NADPH,METABOLITE,Mevalonate,METABOLITE,activation,cofactor_supply,HIGH,HMGR requires 2 NADPH per mevalonate. NADPH availability is rate-limiting; MVA pathway consumes 2 NADPH per IPP vs MEP which produces net NADH but consumes NADPH for IspG/IspH.,,,,,,MVA pathway needs 2 NADPH for the production of mevalonate,,
MVK,GENE,IPP,METABOLITE,activation,enzymatic_heterologous,HIGH,MVK (mevalonate kinase) phosphorylates mevalonate to MVA-5-P; subsequent kinase (PMK/MvaK2) and decarboxylase (MVD/MvaD) yield IPP. MVK was identified as rate-limiting and improved by directed evolution.,,,,,,Mevalonate kinase (MK) is one of the rate-limiting enzymes in the lycopene synthetic pathway,,
PMK,GENE,IPP,METABOLITE,activation,enzymatic_heterologous,HIGH,"PMK (phosphomevalonate kinase, MvaK2) phosphorylates MVA-5-P to MVA-5-PP.",,,,,,two reactions successively catalyzed by MVAP kinase (PMK) and MVAPP decarboxylase (MDD),,
MVD,GENE,IPP,METABOLITE,activation,enzymatic_heterologous,HIGH,"MVD (mevalonate diphosphate decarboxylase, MvaD) catalyses decarboxylation-dehydration of MVA-5-PP to IPP.",,,,,,MVAPP decarboxylase (MDD),,
Dxs,GENE,IPP,METABOLITE,activation,enzymatic,HIGH,"DXS (1-deoxy-D-xylulose-5-phosphate synthase) condenses G3P + pyruvate -> DXP, the first and main rate-limiting step of the MEP pathway. Overexpression gives 3.5x lycopene. Canonical dxs OE studies: Kim & Keasling 2001; Yuan 2006.",,,,,,the step that limits the rate of the MEP pathway...overexpression of dxs in E. coli carotenoid production was enhanced 3.5-fold,,
G3P,METABOLITE,IPP,METABOLITE,activation,metabolic_pool,HIGH,G3P is a direct substrate of DXS that enters the MEP pathway and becomes IPP via the 8-enzyme cascade.,,,,,,glyceraldehyde 3-phosphate (G3P) and pyruvate are condensed to form 1-deoxy-d-xylulose-5-phosphate (DXP) by DXP synthase (DXS),,
Pyruvate,METABOLITE,IPP,METABOLITE,activation,metabolic_pool,HIGH,"Pyruvate is the second substrate of DXS, contributing one carbon to DXP and thereby to IPP.",,,,,,glyceraldehyde 3-phosphate (G3P) and pyruvate are condensed to form 1-deoxy-d-xylulose-5-phosphate (DXP) by DXP synthase (DXS),,
Dxr,GENE,IPP,METABOLITE,activation,enzymatic,HIGH,"Dxr (= IspC, DXP reductoisomerase) reduces DXP to MEP using NADPH. Rate-limiting co-target with Dxs; combined dxs+dxr OE yielded 22 mg/L lycopene.",,,,,,highest lycopene yield (22 mg/L) was reached with the arabinose-inducible promoter on a medium-copy plasmid pBAD24 in the E. coli XL1-Blue strain,,
IspD,GENE,IPP,METABOLITE,activation,enzymatic,MEDIUM,"IspD (MEP cytidylyltransferase, MCT) converts MEP to CDP-ME. Co-OE with IspF gave 71% astaxanthin increase, indicating MEP rate control at this step too.",,,,,,overabundance of the IspD (MCT) and IspF (MDS) enzymes in the MEP pathway led to a significant boost of 71% in the synthesis of astaxanthin,,
IspE,GENE,IPP,METABOLITE,activation,enzymatic,MEDIUM,IspE (CDP-ME kinase) phosphorylates CDP-ME to CDP-ME-2P in the MEP pathway.,,,,,,a series of enzymes...successively catalyzes the conversion of MEP into IPP,,
IspF,GENE,IPP,METABOLITE,activation,enzymatic,MEDIUM,"IspF (MECDP synthase, MDS) cyclises CDP-ME-2P to MEcDP. Co-OE with IspD is synergistic.",,,,,,overabundance of the IspD (MCT) and IspF (MDS) enzymes in the MEP pathway led to a significant boost of 71% in the synthesis of astaxanthin,,
IspG,GENE,IPP,METABOLITE,activation,enzymatic,MEDIUM,IspG (HMB-PP synthase) converts MEcDP to HMB-PP using 2e- + 2H+ (Fe-S cluster; NADPH via flavodoxin).,,,,,,a series of enzymes...successively catalyzes the conversion of MEP into IPP,,
IspH,GENE,IPP,METABOLITE,activation,enzymatic,MEDIUM,IspH (HMB-PP reductase) converts HMB-PP to IPP+DMAPP directly in an ~5:1 ratio.,,,,,,a series of enzymes...successively catalyzes the conversion of MEP into IPP,,
IspH,GENE,DMAPP,METABOLITE,activation,enzymatic,MEDIUM,IspH generates both IPP and DMAPP in ~5:1 ratio.,,,,,,a series of enzymes...successively catalyzes the conversion of MEP into IPP,,
Idi,GENE,DMAPP,METABOLITE,activation,enzymatic,HIGH,"Idi (IPP isomerase) interconverts IPP and DMAPP, equilibrating the pools. Since CrtE requires DMAPP (as well as 3x IPP) to form GGPP, Idi is rate-limiting; OE gives ~1.8x lycopene; co-OE with Dxs is synergistic.",,,,,,IDI is a crucial enzyme...mutant IDI exhibited a 1.8-fold increase in lycopene production,,
IPP,METABOLITE,DMAPP,METABOLITE,activation,metabolic_pool,HIGH,IPP is isomerised to DMAPP by Idi (and also generated directly by IspH); DMAPP pool depends on IPP availability.,,,,,,isopentenyl-diphosphate isomerase (IDI) catalyzes the isomerization of IPP to DMAPP,,
IspA,GENE,FPP,METABOLITE,activation,enzymatic,HIGH,IspA (FPP synthase) condenses DMAPP+IPP -> GPP and GPP+IPP -> FPP. Drains the IPP/DMAPP pool toward C15 FPP for essential cellular processes and as CrtE substrate.,,,,,,farnesyl pyrophosphate (FPP) is formed from GPP catalyzed by FPP synthase (IspA),,
IspA,GENE,GPP,METABOLITE,activation,enzymatic,MEDIUM,IspA catalyses DMAPP+IPP -> GPP as the first condensation before FPP.,,,,,,condensation reaction between the two intermediates occurs with the formation of geranyl diphosphate (GPP),,
IPP,METABOLITE,FPP,METABOLITE,activation,metabolic_pool,HIGH,FPP synthesis requires 2x IPP + DMAPP via IspA-catalysed condensations.,,,,,,"FPP is then catalyzed by geranylgeranyl diphosphate synthase (CrtE), phytoene synthase (CrtB), and phytoene desaturase (CrtI) to successively form GGPP, phytoene, and finally lycopene",,
DMAPP,METABOLITE,FPP,METABOLITE,activation,metabolic_pool,HIGH,DMAPP is the starter unit for IspA-catalysed condensations forming FPP.,,,,,,"isopentenyl pyrophosphate (IPP), dimethylallyl pyrophosphate (DMAPP) and farnesyl pyrophosphate (FPP) are synthesized by 8 sequential enzymes in the MEP pathway, after which they are converted to lycopene",,
IspB,GENE,FPP,METABOLITE,inhibition,competing_sink,MEDIUM,"IspB (octaprenyl-PP synthase) consumes FPP+IPP to produce octaprenyl-PP (C40 ubiquinone precursor), competing with CrtE for FPP. RBS-downregulation of ispB reduces this competing sink and increases carotenoid titer.",,,,,,"FPP, in turn, is catalyzed by geranylgeranyl diphosphate (GGPP) synthase (CrtE)",,
CrtE,GENE,GGPP,METABOLITE,activation,enzymatic_heterologous,HIGH,CrtE (GGPP synthase) condenses FPP + IPP -> GGPP. Heterologously expressed from Pantoea ananatis / P. agglomerans / Erwinia uredovora. Rate-limiting step in carotenoid biosynthesis; OE gave 60% lycopene increase.,,,,,,transformation of DMAPP into GGPP...was recognized as the pivotal step that restricts the rate of carotenoid biosynthesis...enhanced the expression of CrtE...60% increase in lycopene production,,
FPP,METABOLITE,GGPP,METABOLITE,activation,metabolic_pool,HIGH,FPP + IPP -> GGPP by CrtE.,,,,,,"FPP, in turn, is catalyzed by geranylgeranyl diphosphate (GGPP) synthase (CrtE)",,
CrtB,GENE,Phytoene,METABOLITE,activation,enzymatic_heterologous,HIGH,CrtB (phytoene synthase) condenses 2x GGPP -> phytoene. Essential heterologous enzyme of the lycopene cassette.,,,,,,phytoene synthase (CrtB)...successively form...phytoene,,
GGPP,METABOLITE,Phytoene,METABOLITE,activation,metabolic_pool,HIGH,Phytoene formation requires 2x GGPP via CrtB.,,,,,,"FPP is then catalyzed by geranylgeranyl diphosphate synthase (CrtE), phytoene synthase (CrtB), and phytoene desaturase (CrtI) to successively form GGPP, phytoene, and finally lycopene",,
CrtI,GENE,Lycopene_Titer,PHENOTYPE,activation,enzymatic_heterologous,HIGH,"CrtI (phytoene desaturase) performs four desaturation steps on phytoene, forming lycopene. FAD-dependent enzyme; directed evolution (Y160F+N576S mutant) improved lycopene 60%.",,,,,,phytoene desaturase (CrtI) to successively form...finally lycopene,,
Phytoene,METABOLITE,Lycopene_Titer,PHENOTYPE,activation,metabolic_pool,HIGH,Phytoene is the direct substrate of CrtI to form lycopene via four desaturations.,,,,,,phytoene desaturase (CrtI) to successively form...finally lycopene,,
GGPP,METABOLITE,Lycopene_Titer,PHENOTYPE,activation,metabolic_pool,MEDIUM,Shortcut edge: higher GGPP pool results in higher lycopene flux. Included to allow BUILDER to use a compact topology if metabolite pools are collapsed.,,,,,,transformation of DMAPP into GGPP...was recognized as the pivotal step that restricts the rate of carotenoid biosynthesis,,
FPP,METABOLITE,Lycopene_Titer,PHENOTYPE,activation,metabolic_pool,LOW,Shortcut edge: FPP pool ultimately feeds lycopene. Included as optional BUILDER-selectable compact edge.,,,,,,"FPP is then catalyzed by geranylgeranyl diphosphate synthase (CrtE), phytoene synthase (CrtB), and phytoene desaturase (CrtI) to successively form GGPP, phytoene, and finally lycopene",,
IPTG,ENVIRONMENT,Dxs,GENE,activation,transcriptional_induction,HIGH,IPTG induces lac/trc/T7 promoters driving heterologous dxs expression when under lac-controlled expression system.,,,,,,highest lycopene yield (22 mg/L) was reached with the arabinose-inducible promoter on a medium-copy plasmid pBAD24 in the E. coli XL1-Blue strain,,
IPTG,ENVIRONMENT,Idi,GENE,activation,transcriptional_induction,HIGH,IPTG induces lac/trc/T7 promoters controlling idi overexpression in standard plasmid systems.,,,,,,RBS libraries...leading to an increase in lycopene yield by 32%,,
IPTG,ENVIRONMENT,CrtE,GENE,activation,transcriptional_induction,HIGH,IPTG induces the lac/T7 promoter driving heterologous crt cassette expression in standard vectors.,,,,,,"E. coli harboring the P. agglomerans crt genes produced 27 mg/l of lycopene in 2YT medium without IPTG induction, which was twofold higher than that produced by E. coli harboring the P. ananatis crt genes (12 mg/l lycopene) with 0.1 mM IPTG induction",,
IPTG,ENVIRONMENT,CrtB,GENE,activation,transcriptional_induction,HIGH,Same promoter system as CrtE; IPTG induces lac/T7-driven crtB expression.,,,,,,E. coli harboring the P. agglomerans crt genes produced 27 mg/l of lycopene in 2YT medium without IPTG induction,,
IPTG,ENVIRONMENT,CrtI,GENE,activation,transcriptional_induction,HIGH,Same promoter system; IPTG induces crtI expression in lac/T7 cassettes.,,,,,,0.1 mM IPTG induction,,
Arabinose,ENVIRONMENT,Dxs,GENE,activation,transcriptional_induction,HIGH,PBAD promoter (AraC regulator) induces dxs when cloned on pBAD24/pA-SRAI vectors; 1% L-arabinose gives strong induction.,,,,,,"dxs, dxr, ispA, and idi from E. coli...expressed under the PBAD promoter regulated by AraC protein and arabinose",,
Arabinose,ENVIRONMENT,Idi,GENE,activation,transcriptional_induction,HIGH,Same PBAD system; arabinose induces idi coexpressed in pBAD cassettes.,,,,,,"dxs, dxr, ispA, and idi from E. coli...expressed under the PBAD promoter regulated by AraC protein and arabinose",,
Arabinose,ENVIRONMENT,Dxr,GENE,activation,transcriptional_induction,HIGH,Arabinose induces PBAD-driven dxr OE cassettes.,,,,,,"dxs, dxr, ispA, and idi from E. coli...expressed under the PBAD promoter regulated by AraC protein and arabinose",,
Arabinose,ENVIRONMENT,IspA,GENE,activation,transcriptional_induction,HIGH,Arabinose induces PBAD-driven ispA OE plasmids.,,,,,,"dxs, dxr, ispA, and idi from E. coli...expressed under the PBAD promoter regulated by AraC protein and arabinose",,
Plasmid_Copy_Number,ENVIRONMENT,CrtE,GENE,activation,dosage,HIGH,"Higher plasmid copy number (e.g., pACYC p15A ~15 copies, pBR322 ~20 copies, pBluescript ~500 copies) increases crtE gene dosage and protein abundance.",,,,,,"one copy of MVA upper pathway, two copies of MVA lower pathway, and three copies of lycopene expression pathway was comprehended as the best performer",,
Plasmid_Copy_Number,ENVIRONMENT,CrtB,GENE,activation,dosage,HIGH,Same mechanism; copy number tunes CrtB abundance.,,,,,,three copies of lycopene expression pathway was comprehended as the best performer,,
Plasmid_Copy_Number,ENVIRONMENT,CrtI,GENE,activation,dosage,HIGH,Same mechanism; copy number tunes CrtI abundance.,,,,,,three copies of lycopene expression pathway was comprehended as the best performer,,
CRP,GENE,Lycopene_Titer,PHENOTYPE,activation,global_regulator,MEDIUM,CRP (cAMP receptor protein) is a global TF modulating hundreds of genes via cAMP-CRP complex. Engineered CRP variants (site-directed mutagenesis) gave ~25% more lycopene by fine-tuning central metabolism for precursor supply.,,,,,,global regulator cAMP receptor protein (CRP)...transcriptional engineering...ultimately leading to improved lycopene production...approximately 25% more lycopene,,
RpoS,GENE,Lycopene_Titer,PHENOTYPE,activation,global_regulator,HIGH,"RpoS (sigma-S) is the stationary-phase sigma factor regulating ~10% of E. coli genome including katE catalase. Î”rpos strains accumulate ROS that chemically degrade lycopene, giving ~8-fold lower titer in stationary phase. Does not directly regulate MEP enzymes.",,,,,,knockout of rpoS does not influence flux through the MEP pathway...increased accumulation of reactive oxygen species during late log and stationary phases,,
RpoS,GENE,KatE,GENE,activation,transcriptional,HIGH,"RpoS directly transcribes katE (stationary-phase catalase), which degrades H2O2 and limits ROS damage to lycopene.",,,,,,concentration of the stationary phase-specific catalase KatE...was reduced >twofold in MG1655*,,
KatE,GENE,ROS,METABOLITE,inhibition,enzymatic,HIGH,"KatE (catalase HP-II) degrades hydrogen peroxide, lowering ROS level.",,,,,,"overexpression of katE increased measurable lycopene in MG1655*, reducing the difference...to less than two-fold from previously eightfold",,
ROS,METABOLITE,Lycopene_Titer,PHENOTYPE,inhibition,chemical_degradation,HIGH,"ROS (H2O2, superoxide, hydroxyl radical) chemically oxidise lycopene's conjugated double bonds, degrading it and lowering measurable titer.",,,,,,measurable lycopene content decreased significantly in the presence of sublethal doses of menadione,,
SoxS,GENE,Zwf,GENE,activation,transcriptional,HIGH,"SoxS (activated by SoxR upon superoxide/redox-cycler exposure) transcriptionally activates zwf, fpr, fumC. This means oxidative stress raises Zwf, redirecting carbon into PPP and away from MEP precursors â€” secondary anti-lycopene route.",,,,,,Expression of zwf gene that encodes the first key enzyme from the pentose phosphate pathway is among others controlled by the SoxRS regulon in response to oxidative stress,,
SoxR,GENE,SoxS,GENE,activation,transcriptional,HIGH,"SoxR is a 2Fe-2S-cluster sensor of redox-cycling compounds (paraquat, menadione); oxidised SoxR activates soxS transcription.",,,,,,"The SoxRS regulon is a response mechanism to O2- and to redox-cycling compounds, but not to H2O2",,
OxyR,GENE,KatG,GENE,activation,transcriptional,HIGH,"OxyR senses H2O2 via disulfide bond formation; activates katG, ahpCF, gorA, dps genes for H2O2 defense.",,,,,,The OxyR system (which responds to H2O2),,
AppY,GENE,Lycopene_Titer,PHENOTYPE,activation,global_regulator,HIGH,AppY (AraC-family TF for anaerobic energy metabolism genes) enhances lycopene when co-expressed with dxs â€” 8-fold improvement in one study.,,,,,,co-expression of appY with dxs produced an eight-fold improvement in lycopene yield,,
Crl,GENE,RpoS,GENE,activation,post_translational,MEDIUM,"Crl (sigma-S chaperone) increases RpoS association with core RNAP, stabilising stationary-phase transcription program and indirectly boosting lycopene via RpoS->KatE->ROS defense.",,,,,,Crl (transcriptional regulator of csgBA for curli surface fiber formation) also enhanced lycopene production,,
Hnr,GENE,RpoS,GENE,inhibition,post_translational,MEDIUM,"Hnr (RssB) adapter protein targets RpoS for ClpXP degradation. Î”hnr stabilises RpoS, increasing lycopene; double KO with Î”yliE gives significant improvement.",,,,,,Î”hnr Î”yliE mutant...significantly improved lycopene production,,
YliE,GENE,Lycopene_Titer,PHENOTYPE,inhibition,poorly_characterized,LOW,YliE is a c-di-GMP phosphodiesterase; Î”yliE enhances lycopene in a Î”hnr background. Mechanism likely via biofilm/stress phenotypes modulating RpoS stability.,,,,,,Î”hnr Î”yliE mutant...significantly improved lycopene production,,
ArcA,GENE,AceE,GENE,inhibition,transcriptional,MEDIUM,"ArcA (anoxic redox control, two-component response regulator with ArcB) represses TCA and PDH genes including aceE under microaerobic conditions.",,,,,,knockout of aceE would presumably improve carbon flux to pyruvate and formate,,
FNR,GENE,AceE,GENE,inhibition,transcriptional,MEDIUM,FNR (4Fe-4S-cluster anaerobic regulator) represses aerobic metabolism genes (including aceE) in anaerobic conditions.,,,,,,knockout of aceE would presumably improve carbon flux to pyruvate,,
Oxygen_Level,ENVIRONMENT,ArcA,GENE,inhibition,signal_transduction,HIGH,"ArcB kinase is autophosphorylated under reduced (low O2) conditions; high O2 deactivates ArcA; low O2 activates ArcA (we encode oxygen -> ArcA with sign -1, meaning higher O2 reduces ArcA activity).",,,,,,presumably improve carbon flux to pyruvate and formate,,
Oxygen_Level,ENVIRONMENT,FNR,GENE,inhibition,signal_transduction,HIGH,FNR Fe-S cluster is O2-labile; FNR is active only under anaerobic conditions. Higher O2 -> lower FNR activity.,,,,,,anaerobic energy metabolism,,
Oxygen_Level,ENVIRONMENT,ROS,METABOLITE,activation,chemical,HIGH,High dissolved O2 increases ROS generation by leaky electron transport chain; excessive aeration causes lycopene photoxidation/chemical oxidation.,,,,,,proteins involved in aerobic respiration and the TCA cycle were increased when compared to Seq+,,
Temperature,ENVIRONMENT,Lycopene_Titer,PHENOTYPE,inhibition,process,MEDIUM,"Elevated temperature (37 degC) causes soluble protein misfolding, T7 polymerase-driven metabolic burden, and faster lycopene degradation. Lower culture T (28-30 degC) yields higher lycopene.",,,,,,temperature-shift culture method (37 to 25 degC)...further augment lycopene production,,
Medium_Richness,ENVIRONMENT,Lycopene_Titer,PHENOTYPE,activation,process,HIGH,"Rich media (e.g., 2xYTg with 20% glycerol, tryptone, yeast extract) support higher biomass and lycopene accumulation than minimal media; MG1655 titer 141 mg/L in LB scales to 1595 mg/L in 2xYTg.",,,,,,"cells grown in 2xYTg achieved 4.6, 4.1, and 4-fold higher lycopene titers (651 mg/l)...2xYTg titer was 1,595 mg/l",,
Chassis_K12,ENVIRONMENT,Lycopene_Titer,PHENOTYPE,activation,genetic_background,HIGH,"K-12 background (MG1655, W3110) has functional RpoS and complete TCA; outperforms B strains (BL21) and DH5a for lycopene 10-16x. Strain lineage is a source node affecting baseline lycopene capacity.",,,,,,MG1655 expressed lycopene production capacity 10 to 16 times higher than commonly used laboratory strains such as DH5a and BL21 (DE3),,
Plsb,GENE,Lycopene_Titer,PHENOTYPE,activation,membrane_engineering,MEDIUM,"Plsb (glycerol-3-phosphate acyltransferase) increases membrane lipid biosynthesis, creating hydrophobic compartments for lycopene storage. OE with Plsc and Almgs boosts lycopene to 36.4 mg/g DCW.",,,,,,Plsb (glycerol-3-phosphate acyltransferase) and Plsc...were overexpressed...cells produced sufficient intracellular membrane vesicles,,
Plsc,GENE,Lycopene_Titer,PHENOTYPE,activation,membrane_engineering,MEDIUM,Plsc (1-acylglycerol-3-phosphate acyltransferase) cooperates with Plsb in membrane lipid biosynthesis.,,,,,,"1-acylglycerol-3-phosphate-acyltransferase), were overexpressed...cells produced sufficient intracellular membrane vesicles",,
Almgs,GENE,Lycopene_Titer,PHENOTYPE,activation,membrane_engineering,MEDIUM,"Almgs (monoglucosyl diacylglycerol synthase from Acholeplasma) increases glycerophospholipids, giving 36.4 mg/g DCW lycopene in combination with plsb/plsc.",,,,,,"amount of the membrane component, glycerophospholipids, was increased...36.4 mg/g DCW of lycopene accumulated",,
WaaC,GENE,Lycopene_Titer,PHENOTYPE,inhibition,lipopolysaccharide,MEDIUM,"WaaC is an LPS heptosyltransferase. Deletion truncates LPS (deep-rough phenotype), altering outer membrane permeability and promoting lycopene production.",,,,,,deletion of the waaC and waaF genes greatly promoted lycopene production,,
WaaF,GENE,Lycopene_Titer,PHENOTYPE,inhibition,lipopolysaccharide,MEDIUM,"WaaF catalyses second LPS core heptose addition; Î”waaF truncates LPS core, similar to Î”waaC effect.",,,,,,deletion of the waaC and waaF genes greatly promoted lycopene production,,
Lpp,GENE,Lycopene_Titer,PHENOTYPE,inhibition,outer_membrane_integrity,MEDIUM,"Lpp (Braun's lipoprotein) tethers peptidoglycan to outer membrane; deletion plus nlpI, mlaE, tolA gave 59.34-fold extracellular lycopene increase.",,,,,,"deletion of the lpp, nlpI, mlaE, and tolA genes...59.34-fold improvement in extracellular lycopene production",,
