source,source_type,target,target_type,effect,edge_type,confidence,mechanism,doi,paper_title,authors,year,journal,evidence_sentence,verification,species_validated
MEE45,GENE,Auxin,HORMONE,activation,transcriptional,HIGH,MATERNAL EFFECT EMBRYO ARREST45 modulates maternal auxin biosynthesis,,,,,,MEE45 modulates maternal auxin biosynthesis and controls seed size by inducing AINTEGUMENTA,,
MEE45,GENE,ANT,GENE,activation,transcriptional,HIGH,auxin-mediated transcriptional activation of AINTEGUMENTA,,,,,,MEE45 controls seed size by inducing AINTEGUMENTA,,
DELLA,PROTEIN_COMPLEX,ANT,GENE,activation,transcriptional,HIGH,GAI (DELLA) directly activates ANT transcription during ovule development,,,,,,GAI could trigger ANT induction during ovule development; ChIP-Seq identified putative GAI-binding sites upstream of ANT,,
DELLA,PROTEIN_COMPLEX,CYCB1;1,GENE,activation,transcriptional,HIGH,indirect transcriptional activation of B-type cyclin,,,,,,CYCB1;1 expression level is increased in siliques at 3 DAP of gai-1,,
ANT,GENE,Integument_Growth,PROCESS,activation,transcriptional,HIGH,AP2-like TF drives integument primordium proliferation,,,,,,ANT activity would increase cell proliferation; overexpression causes oversized ovules/seeds,,
ANT,GENE,Ovule_size,PROCESS,activation,transcriptional,HIGH,promotes ovule primordium cell proliferation,,,,,,ANT provides key proliferative potential to the ovule primordia early in their development,,
CYCB1;1,GENE,Cell_Proliferation,PROCESS,activation,cell cycle,HIGH,B-type cyclin drives G2/M transition,,,,,,B-type cyclins expressed shortly before and during mitosis; markers for mitosis and cell proliferation,,
Gibberellin,HORMONE,DELLA,PROTEIN_COMPLEX,inhibition,post-translational,HIGH,GA-GID1-DELLA complex triggers DELLA ubiquitylation and proteasomal degradation,,,,,,"GA-GID1-DELLA complex enables binding with F-box proteins, DELLA protein polyubiquitylation and degradation by 26S proteasome",,
GID1A,GENE,DELLA,PROTEIN_COMPLEX,inhibition,post-translational,HIGH,GA receptor that promotes DELLA degradation,,,,,,gid1a and gid1b seeds larger than wild-type; both GID1a/b expressed in ovules,,
GID1B,GENE,DELLA,PROTEIN_COMPLEX,inhibition,post-translational,HIGH,GA receptor promoting DELLA degradation,,,,,,gid1b seeds larger than wild-type,,
GA20ox,GENE,Gibberellin,HORMONE,activation,biosynthesis,HIGH,GA20-oxidase catalyzes late steps of GA biosynthesis,,,,,,GA20-oxidases catalyze the last steps of GA biosynthesis converting inactive GA precursors into bioactive GAs,,
GA3ox,GENE,Gibberellin,HORMONE,activation,biosynthesis,HIGH,GA3-oxidase catalyzes final step of GA biosynthesis,,,,,,GA3-oxidases catalyze the last steps of GA biosynthesis,,
GA2ox,GENE,Gibberellin,HORMONE,inhibition,catabolism,HIGH,GA2-oxidase inactivates bioactive GAs,,,,,,GA2ox enzymes catabolize active GAs,,
SHB1,GENE,MINI3,GENE,activation,transcriptional,HIGH,SHB1 associates with MINI3 promoter in vivo (ChIP),,,,,,SHB1 associates with both MINI3 and IKU2 promoters in vivo; shb1-D enhanced MINI3 expression 10-fold,,
SHB1,GENE,IKU2,GENE,activation,transcriptional,HIGH,SHB1 associates with IKU2 promoter (ChIP),,,,,,SHB1 associates with IKU2 promoter; shb1-D enhanced IKU2 expression 10-fold,,
SHB1,GENE,Endosperm_Proliferation,PROCESS,activation,via IKU pathway,HIGH,via IKU pathway activation and independent embryo cell proliferation,,,,,,SHB1 gain-of-function regulates endosperm proliferation and timing of cellularization,,
MINI3,GENE,IKU2,GENE,activation,transcriptional,HIGH,WRKY10 binds W-boxes in IKU2 promoter,,,,,,mutation in MINI3 completely blocked the expression of IKU2 in double mutants; W-box motifs in IKU2 promoter,,
IKU1,GENE,MINI3,GENE,activation,protein-protein interaction,HIGH,VQ domain protein IKU1 interacts with WRKY10/MINI3 as cofactor,,,,,,MINI3 expression reduced in iku1-1 background; IKU1 interacts with MINI3,,
IKU1,GENE,IKU2,GENE,activation,via MINI3,HIGH,VQ protein activates MINI3 which activates IKU2,,,,,,IKU2 expression decreased in iku1-1 mutant,,
IKU2,GENE,Endosperm_Proliferation,PROCESS,activation,LRR kinase signaling,HIGH,LRR receptor kinase drives nuclear proliferation and blocks premature cellularization,,,,,,iku mutations cause premature cellularization and reduce endosperm proliferation,,
MINI3,GENE,Endosperm_Proliferation,PROCESS,activation,transcriptional,HIGH,WRKY10 TF activates endosperm growth genes,,,,,,mini3 mutants show precocious cellularization and reduced endosperm nuclei,,
MINI3,GENE,CKX2,GENE,activation,transcriptional,HIGH,WRKY10 binds W-boxes in CKX2 promoter,,,,,,direct binding of WRKY10 to two W-boxes of CKX2 promoter is critical for transcriptional activation,,
CKX2,GENE,Cytokinin,HORMONE,inhibition,catabolism,HIGH,cytokinin oxidase/dehydrogenase degrades CK in endosperm,,,,,,CKX2 cytokinin oxidase affects cytokinin signaling (degradation),,
CKX3,GENE,Cytokinin,HORMONE,inhibition,catabolism,HIGH,cytokinin oxidase/dehydrogenase in reproductive meristems,,,,,,trans-zeatin levels fourfold higher in inflorescences of ckx3 ckx5 mutants,,
CKX5,GENE,Cytokinin,HORMONE,inhibition,catabolism,HIGH,cytokinin oxidase in placentas,,,,,,CKX5 localizes to placentas; ckx3 ckx5 shows twice as many ovules,,
IPT,GENE,Cytokinin,HORMONE,activation,biosynthesis,HIGH,adenylate isopentenyltransferase in CK biosynthesis,,,,,,IPT genes strongly expressed in chalazal endosperm cyst,,
Cytokinin,HORMONE,AHK2,GENE,activation,receptor binding,HIGH,CK binds histidine kinase receptor,,,,,,cytokinin is perceived by AHK2/AHK3/CRE1(AHK4),,
Cytokinin,HORMONE,AHK3,GENE,activation,receptor binding,HIGH,CK binds histidine kinase receptor,,,,,,ahk3 mutant cytokinin receptor affects seed size,,
Cytokinin,HORMONE,CRE1,GENE,activation,receptor binding,HIGH,CK binds AHK4/CRE1 receptor,,,,,,cre1 ahk2 ahk3 triple mutant produces larger seeds,,
Cytokinin,HORMONE,Endosperm_Proliferation,PROCESS,inhibition,signaling,HIGH,high CK in endosperm limits growth; CKX-mediated CK degradation is required for expansion,,,,,,cytokinin signaling is involved in the IKU pathway (high CK reduces growth),,
AHP6,GENE,Cytokinin,HORMONE,inhibition,signaling,HIGH,pseudo-phosphotransfer protein blocks CK signaling,,,,,,ckx3 ckx5 ahp6 triple mutants had 23% more siliques; AHP6 acts as feedback repressor,,
Cytokinin,HORMONE,Ovule_size,PROCESS,activation,signaling,HIGH,CK extends cell proliferation in gynoecium placenta,,,,,,ckx3 ckx5 mutant gynoecia contained almost twice as many ovules,,
RAV1,GENE,MINI3,GENE,repression,transcriptional,HIGH,RAV1 binds CAACA motif in MINI3 promoter,,,,,,RAV1 directly binds CAACA motif in MINI3 promoter (ChIP),,
RAV1,GENE,IKU2,GENE,repression,transcriptional,HIGH,RAV1 binds CACCTG motif in IKU2 promoter,,,,,,RAV1 directly binds CACCTG motif in IKU2 promoter,,
RAV1,GENE,ABI5,GENE,repression,transcriptional,HIGH,RAV1 binds and represses ABI5 promoter,,,,,,RAV1 binds and represses ABI5 promoter,,
BZR1,GENE,RAV1,GENE,repression,transcriptional,MEDIUM,BR-activated BZR1 represses RAV1 during seed development,,,,,,BZR1 represses RAV1 transcription during early seed development,,
WRKY10,GENE,miR397a,REGULATORY_RNA,activation,transcriptional,HIGH,WRKY10 binds W-box in miR397a promoter,,,,,,dual-luciferase and EMSA showed WRKY10 specifically binds pmiR397a,,
miR397a,REGULATORY_RNA,LAC2,GENE,repression,post-transcriptional,HIGH,microRNA-mediated target cleavage,,,,,,miR397a represses the expression of LAC2,,
LAC2,GENE,Seed_Size,PHENOTYPE,repression,lignin biosynthesis,HIGH,laccase affects seed coat lignification limiting growth,,,,,,LAC2 functions as a negative regulator of seed size,,
AIF2,GENE,SHB1,GENE,repression,transcriptional,MEDIUM,bHLH TF represses SHB1 expression,,,,,,SHB1 suppressed in AIF2ox plants,,
AIF2,GENE,IKU1,GENE,repression,transcriptional,MEDIUM,bHLH TF represses IKU1,,,,,,IKU1 suppressed in AIF2ox plants,,
AIF2,GENE,MINI3,GENE,repression,transcriptional,MEDIUM,bHLH TF represses MINI3,,,,,,MINI3 suppressed in AIF2ox plants,,
PRC2,PROTEIN_COMPLEX,CKX2,GENE,repression,chromatin,HIGH,H3K27me3 deposition represses CKX2 transcription,,,,,,H3K27me3 deposited over CKX2 promoter-exon1 region; CKX2 ectopically overexpressed in FIEcos seedlings,,
FIE,GENE,PRC2,PROTEIN_COMPLEX,activation,complex assembly,HIGH,FIE is WD40 core subunit of PRC2 complex,,,,,,FIE is a core component of the FIS-Polycomb group complex,,
MEA,GENE,PRC2,PROTEIN_COMPLEX,activation,complex assembly,HIGH,MEA is SET-domain catalytic subunit of PRC2,,,,,,MEA is catalytic SET-domain subunit of FIS-PRC2,,
FIS2,GENE,PRC2,PROTEIN_COMPLEX,activation,complex assembly,HIGH,FIS2 is Su(z)12-like subunit of PRC2,,,,,,FIS2 is Su(z)12-like component of FIS-PRC2 complex,,
MSI1,GENE,PRC2,PROTEIN_COMPLEX,activation,complex assembly,HIGH,MSI1 is WD40 scaffold subunit of PRC2,,,,,,MSI1 is component of MEA/FIE Polycomb group complex,,
PRC2,PROTEIN_COMPLEX,Endosperm_Proliferation,PROCESS,repression,chromatin,HIGH,FIS-PRC2 represses autonomous endosperm development pre-fertilization,,,,,,FIS mutants show autonomous endosperm development; PRC2 represses central cell division before fertilization,,
Endosperm_Proliferation,PROCESS,Integument_Growth,PROCESS,activation,non-cell-autonomous signal,HIGH,endosperm-derived signal enhances integument mitotic activity,,,,,,autonomous endosperm growth is responsible for increased mitotic activity in integuments in msi1 autonomous seeds,,
Endosperm_Proliferation,PROCESS,Seed_Size,PHENOTYPE,activation,developmental,HIGH,endosperm cavity volume determines final seed size,,,,,,major endosperm/seed growth phase is driven by expansion of coenocytic endosperm; conditions final size of embryo,,
RBR1,GENE,Endosperm_Proliferation,PROCESS,inhibition,cell cycle,HIGH,retinoblastoma-related blocks G1/S transition in central cell,,,,,,rbr1 female gametophytes fail to arrest nuclear division after the third mitosis,,
MET1,GENE,FIS2,GENE,repression,DNA methylation,HIGH,MET1 methylates paternal FIS2 allele to silence it,,,,,,paternal loss of MET1 enhances the expression of the PRC2 component FIS2,,
YUC10,GENE,Auxin,HORMONE,activation,biosynthesis,HIGH,flavin monooxygenase converts IPA to IAA in endosperm post-fertilization,,,,,,Auxin biosynthesis following fertilization is dependent on paternally-expressed YUC10 and TAR1,,
YUC11,GENE,Auxin,HORMONE,activation,biosynthesis,HIGH,flavin monooxygenase auxin biosynthesis,,,,,,"Two YUC genes expressed in endosperm, YUC10 and YUC11",,
TAR1,GENE,Auxin,HORMONE,activation,biosynthesis,HIGH,tryptophan aminotransferase in auxin biosynthesis,,,,,,YUC10 and TAR1 drive post-fertilization auxin production,,
AGL62,GENE,PGP10,GENE,activation,transcriptional,HIGH,MADS-box TF activates PGP10 transporter transcription,,,,,,PGP10 expression required AGL62 function; PGP10 expression not detectable in agl62 seeds,,
PGP10,GENE,Auxin,HORMONE,activation,transport,HIGH,ABCB auxin efflux transporter moves auxin endospermâ†’integuments,,,,,,Auxin quickly exported into integuments via PGP10,,
Auxin,HORMONE,PRC2,PROTEIN_COMPLEX,inhibition,transcriptional,HIGH,auxin represses sporophytic PRC2 gene expression in integuments,,,,,,"Sporophytic PRC2 genes strongly downregulated after fertilization or 2,4-D treatment",,
Auxin,HORMONE,Integument_Growth,PROCESS,activation,hormone signaling,HIGH,auxin drives seed coat cell elongation and differentiation,,,,,,"2,4-D treated ovules larger; 30-40% show seed coat development without fertilization",,
Auxin,HORMONE,Endosperm_Proliferation,PROCESS,activation,hormone signaling,HIGH,post-fertilization auxin triggers central cell division,,,,,,ectopic auxin biosynthesis in unfertilized central cell drives endosperm development,,
Auxin,HORMONE,Endosperm_cellularization,PROCESS,inhibition,hormone signaling,HIGH,high auxin delays cellularization - molecular timer,,,,,,YUC10 and TAR1 expression significantly lower at heart stage when cellularization initiates; IaaH-driven auxin overproduction causes cellularization failure,,
PRC2,PROTEIN_COMPLEX,YUC10,GENE,repression,chromatin,HIGH,gametophytic PRC2 silences maternal YUC10 pre-fertilization,,,,,,gametophytic PRC2 silences maternal alleles encoding YUC10 and TAR1,,
PRC2,PROTEIN_COMPLEX,TAR1,GENE,repression,chromatin,HIGH,PRC2 silences maternal TAR1,,,,,,gametophytic PRC2 silences maternal TAR1,,
Auxin,HORMONE,TIR1,GENE,activation,receptor binding,HIGH,auxin binds TIR1 F-box co-receptor to target Aux/IAA for degradation,,,,,,axr1 auxin signaling mutant partially restores cellularization in 3x seeds,,
TIR1,GENE,ARF2,GENE,activation,signal transduction,MEDIUM,TIR1 degrades Aux/IAA to release ARF2,,,,,,ARF transcription factors amplify auxin response,,
Brassinosteroid,HORMONE,BRI1,GENE,activation,receptor binding,HIGH,BR binds BRI1 receptor kinase,,,,,,BR acts through the cell surface receptor BRI1,,
BRI1,GENE,BAK1,GENE,activation,receptor heterodimerization,HIGH,BR-bound BRI1 heterodimerizes with BAK1 co-receptor,,,,,,BRI1 dimerizes with BAK1 co-receptor upon BR binding,,
BRI1,GENE,BIN2,GENE,inhibition,signal transduction,HIGH,active BRI1-BAK1 inactivates BIN2 GSK3-like kinase,,,,,,active BR receptor complex leads to BIN2 inhibition,,
BIN2,GENE,BZR1,GENE,inhibition,phosphorylation,HIGH,GSK3-like kinase phosphorylates and destabilizes BZR1,,,,,,GSK3-like kinase BIN2 phosphorylates and destabilizes BZR1,,
BIN2,GENE,BES1,GENE,inhibition,phosphorylation,HIGH,GSK3 kinase phosphorylates BES1,,,,,,BIN2 phosphorylates BES1/BZR1 family TFs to inhibit their function,,
BZR1,GENE,SHB1,GENE,activation,transcriptional,HIGH,BZR1 binds SHB1 promoter (ChIP),,,,,,"BZR1 bound to promoters of SHB1, IKU1, IKU2, AP2, and ARF2",,
BZR1,GENE,IKU1,GENE,activation,transcriptional,HIGH,BZR1 binds IKU1 promoter (ChIP),,,,,,BZR1 binds IKU1 promoter,,
BZR1,GENE,IKU2,GENE,activation,transcriptional,HIGH,BZR1 binds IKU2 promoter (ChIP),,,,,,BZR1 targeting IKU1 and thus affects MINI3 which leads to IKU2 activation,,
BZR1,GENE,AP2,GENE,repression,transcriptional,HIGH,BZR1 represses AP2 (negative seed-size regulator),,,,,,BZR1 binding to AP2 promoter represses negative regulator,,
BZR1,GENE,ARF2,GENE,repression,transcriptional,HIGH,BZR1 represses ARF2,,,,,,BZR1 modulates integument development through binding to ARF2,,
Brassinosteroid,HORMONE,Endosperm_Proliferation,PROCESS,activation,hormone signaling,HIGH,BR promotes coenocytic endosperm growth dose-dependently,,,,,,BRs promote endosperm growth in dose-dependent manner,,
Brassinosteroid,HORMONE,PRC2,PROTEIN_COMPLEX,inhibition,chromatin-modifying,HIGH,BES1 recruits JMJ demethylases to remove H3K27me3,,,,,,BES1 recruits JMJs to target loci enabling seed coat gene expression,,
DET2,GENE,Brassinosteroid,HORMONE,activation,biosynthesis,HIGH,5Î±-reductase in BR biosynthesis,,,,,,det2 BR-deficient mutants; det2 seeds 17% lighter than wild-type,,
DWF4,GENE,Brassinosteroid,HORMONE,activation,biosynthesis,HIGH,C-22 hydroxylase in BR biosynthesis,,,,,,dwf4 seeds 17% lighter than wild-type; BR biosynthesis blocked,,
BAS1,GENE,Brassinosteroid,HORMONE,inhibition,catabolism,MEDIUM,CYP72B1 inactivates BR by hydroxylation,,,,,,BR is inactivated by BAS1 and related hydroxylases,,
Gibberellin,HORMONE,Integument_Growth,PROCESS,activation,hormone signaling,HIGH,GA removes DELLA to drive seed coat formation (post-fertilization),,,,,,exogenous GA3 drives asexual seed coat formation without fertilization,,
ABA,HORMONE,ABI5,GENE,activation,transcriptional,HIGH,ABA activates ABI5 bZIP transcription factor,,,,,,transcript levels of ABI5 downregulated in aba2,,
ABI5,GENE,SHB1,GENE,repression,transcriptional,HIGH,ABI5 binds SHB1 promoter,,,,,,ABI5 directly binds two discrete regions in the SHB1 promoter,,
ABA,HORMONE,Endosperm_cellularization,PROCESS,activation,hormone signaling,HIGH,ABA promotes timely endosperm cellularization,,,,,,delayed endosperm cellularization in aba2 caused increased nuclear proliferation,,
ABA2,GENE,ABA,HORMONE,activation,biosynthesis,HIGH,short-chain dehydrogenase in ABA biosynthesis,,,,,,ABA2 upstream biosynthesis enzyme; loss leads to reduced ABA and larger seeds,,
NCED3,GENE,ABA,HORMONE,activation,biosynthesis,HIGH,9-cis-epoxycarotenoid dioxygenase rate-limiting step,,,,,,NCED is rate-limiting biosynthetic enzyme for ABA,,
CYP707A,GENE,ABA,HORMONE,inhibition,catabolism,HIGH,8'-hydroxylase inactivates ABA,,,,,,CYP707A catalyses ABA catabolism,,
ABCG17,GENE,ABA,HORMONE,inhibition,transport,HIGH,ABA importer reduces ABA in embryo by importing to adjacent tissues,,,,,,double-knockdown resulted in lower ABA accumulation in embryo; increased seed size,,
ABCG18,GENE,ABA,HORMONE,inhibition,transport,HIGH,ABA importer redundant with ABCG17,,,,,,ABCG17/ABCG18 redundantly regulate seed size,,
ABA,HORMONE,Seed_Size,PHENOTYPE,inhibition,hormone signaling,HIGH,maternal ABA restricts endosperm proliferation,,,,,,ABA-deficient mutants produced seeds with increased size; abi5 mutant larger seeds,,
ABI5,GENE,Seed_Size,PHENOTYPE,repression,transcriptional,HIGH,ABI5 represses SHB1 to restrict seed size,,,,,,abi5 mutant exhibits larger seeds,,
LEC1,GENE,ABI3,GENE,activation,transcriptional,HIGH,LEC1 promotes ABI3 protein abundance,,,,,,FUS3 and LEC1 regulate positively the abundance of the ABI3 protein in the seed,,
FUS3,GENE,ABI3,GENE,activation,transcriptional,HIGH,FUS3 promotes ABI3 protein abundance,,,,,,FUS3 and LEC1 regulate positively ABI3 protein abundance,,
ABI3,GENE,FUS3,GENE,activation,transcriptional feedback,HIGH,ABI3/FUS3 self-reinforcing feedback loop,,,,,,ABI3 and FUS3 positively regulate themselves and each other,,
LEC2,GENE,FUS3,GENE,activation,transcriptional,HIGH,LEC2 upregulates FUS3,,,,,,LEC2 upregulates FUS3 and ABI3,,
LEC2,GENE,ABI3,GENE,activation,transcriptional,HIGH,LEC2 upregulates ABI3,,,,,,LEC2 upregulates FUS3 and ABI3,,
ABI3,GENE,Storage_reserves,PROCESS,activation,transcriptional,HIGH,activates 12S storage protein genes,,,,,,Expression of 12S storage protein gene family controlled by ABI3,,
LEC1,GENE,WRI1,GENE,activation,transcriptional,HIGH,LEC1 directly binds WRI1 (ChIP-chip),,,,,,ChIP-chip assays confirmed AtWRI1 is a direct target of LEC1,,
LEC2,GENE,WRI1,GENE,activation,transcriptional,HIGH,LEC2 activates WRI1 expression,,,,,,Induction of LEC2 activates AtWRI1 expression,,
FUS3,GENE,WRI1,GENE,activation,transcriptional,HIGH,FUS3 directly binds WRI1 (ChIP-chip),,,,,,ChIP-chip validated AtWRI1 as direct target of FUS3,,
MYB89,GENE,WRI1,GENE,repression,transcriptional,HIGH,MYB89 binds WRI1 promoter (ChIP),,,,,,ChIP experiments validated MYB89 binds to AtWRI1 promoter,,
KIN10,GENE,WRI1,GENE,inhibition,phosphorylation,HIGH,SnRK1 subunit phosphorylates WRI1 at T70/S166 â†’ proteasomal degradation,,,,,,AtWRI1 phosphorylation triggered by KIN10 is critical for degradation,,
WRI1,GENE,Seed_oil_content,PROCESS,activation,transcriptional,HIGH,master regulator of fatty acid biosynthesis,,,,,,wri1-1 mutant displays 80% reduced seed oil content,,
Storage_reserves,PROCESS,Seed_Size,PHENOTYPE,activation,seed filling,HIGH,storage protein and oil accumulation increase seed mass,,,,,,WRI1 master regulator of storage reserves drives seed filling and mass,,
RGL2,GENE,ABI5,GENE,activation,transcriptional,HIGH,DELLA stimulates ABI5 expression,,,,,,RGL2 inhibits germination by stimulating ABA synthesis and ABI5 activity,,
RGL2,GENE,ABA,HORMONE,activation,transcriptional,HIGH,DELLA stimulates ABA synthesis via NCED,,,,,,RGL2 inhibits germination by stimulating ABA synthesis,,
AGG3,GENE,Cell_Proliferation_Duration,PROCESS,activation,G-protein signaling,HIGH,G-protein Î³ subunit extends proliferative growth,,,,,,agg3 mutants showed reduced seed/organ size; overexpression increased size,,
AGG3,GENE,AGB1,GENE,activation,protein-protein,HIGH,AGG3 binds AGB1 GÎ² subunit,,,,,,AGG3 interacts with G protein Î² subunit AGB1,,
AGB1,GENE,AGG3,GENE,activation,protein-protein,HIGH,AGB1 recruits AGG3 to plasma membrane,,,,,,AGB1 localizes to plasma membrane by interacting with GÎ³ subunits,,
GPA1,GENE,AGG3,GENE,activation,heterotrimer,HIGH,GPA1 GÎ± required for AGG3 heterotrimer function,,,,,,role of AGG3 in organ size control is dependent on functional GPA1 and AGB1,,
AGG3,GENE,Seed_Size,PHENOTYPE,activation,G-protein signaling,HIGH,G-protein heterotrimer promotes seed growth,,,,,,overexpression of AGG3 significantly increased seed and organ size,,
KIX8,GENE,PPD1,GENE,activation,protein-protein,HIGH,KIX8 binds PPD1 in repressor complex,,,,,,KIX8/9 and PPD1/2 form KIX-PPD complex,,
KIX9,GENE,PPD2,GENE,activation,protein-protein,HIGH,KIX9 binds PPD2 in repressor complex,,,,,,KIX9 interacts with PPD2 in repressor complex,,
MYC3,GENE,GIF1,GENE,repression,transcriptional,HIGH,MYC3 binds G-box in GIF1 promoter (-425 bp),,,,,,MYC3 and MYC4 directly bind GIF1 promoter via G-box element,,
MYC4,GENE,GIF1,GENE,repression,transcriptional,HIGH,MYC4 binds G-box in GIF1 promoter,,,,,,GIF1 expression upregulated in myc3 myc4 mutants,,
PPD1,GENE,GIF1,GENE,repression,transcriptional,HIGH,PPD1 recruits MYC3/4 to GIF1 promoter,,,,,,PPD1/2 required for MYC binding to GIF1 promoter,,
PPD2,GENE,GIF1,GENE,repression,transcriptional,HIGH,PPD2 partner in repressor complex,,,,,,GIF1 upregulated in ppd1-2 ppd2-cr siliques,,
KIX8,GENE,GIF1,GENE,repression,transcriptional,HIGH,KIX8 co-repressor in complex,,,,,,GIF1 elevated in kix8-1 kix9-1 mutants,,
SAP,GENE,KIX8,GENE,inhibition,ubiquitination,HIGH,F-box SAP targets KIX8 for proteasomal degradation,,,,,,SAP positively regulates organ growth by targeting KIX-PPD complex for 26S proteasome-dependent degradation,,
GIF1,GENE,Integument_Growth,PROCESS,activation,transcriptional co-activator,HIGH,GIF1 acts as transcriptional co-activator with GRFs,,,,,,gif1 mutants reduced cell number in outer integuments; 35S:GIF1 produces larger seeds,,
