network,edge_id,source,source_type,target,target_type,sign,effect,mechanism,n_evidence,doi_list
Flowering Time,N012,Vernalization,ENVIRONMENT,VIN3,GENE,1,activation,Vernalizing cold progressively activates VIN3 via H3K4me3,1,10.1073/pnas.0606385103
Flowering Time,N013,VIN3,GENE,FLC,GENE,-1,repression,VIN3 PHD protein binds H3K9me2 and recruits PRC2 for H3K27me3 silencing,1,10.1199/tab.0171
Flowering Time,N014,PRC2,PROTEIN_COMPLEX,FLC,GENE,-1,repression,PRC2 catalyzes H3K27me3 at FLC,1,10.1111/tpj.14817
Flowering Time,N015,FCA,GENE,FLC,GENE,-1,repression,FCA autonomous-pathway RBP represses FLC,2,10.1534/genetics.104.036533; 10.1104/pp.19.01009
Flowering Time,N016,FPA,GENE,FLC,GENE,-1,repression,FPA autonomous-pathway RBP represses FLC,2,10.1534/genetics.104.036533; 10.1105/tpc.13.6.1427
Flowering Time,N017,FLD,GENE,FLC,GENE,-1,repression,FLD autonomous-pathway H3K4 demethylase represses FLC,2,10.1199/tab.0171; 10.1104/pp.19.01009
Flowering Time,N018,FVE,GENE,FLC,GENE,-1,repression,FVE recruits HDA6 to FLC,2,10.4161/psb.27342; 10.1007/s10059-011-1022-6
Flowering Time,N019,LD,GENE,FLC,GENE,-1,repression,LD is a homeodomain-containing transcriptional repressor of FLC; interacts with FLD and SDG26 in autonomous pathway complex,1,10.1093/nar/gkac551
Flowering Time,N020,FLC,GENE,FT,GENE,-1,repression,FLC-SVP heterodimer binds first intron of FT and represses transcription,4,10.1016/j.xplc.2023.100552; 10.1105/tpc.108.063883; 10.1371/journal.pone.0116973; 10.1093/plphys/kiaf225
Flowering Time,N021,FLC,GENE,SOC1,GENE,-1,repression,FLC binds SOC1 promoter and represses it; cdf1235 mutation relieves this to increase SOC1,3,10.1111/tpj.12759; 10.1105/tpc.108.063883; 10.1104/pp.112.202614
Flowering Time,N022,SVP,GENE,FT,GENE,-1,repression,"SVP-FLC, SVP-FLM heterodimers bind first intron of FT and repress transcription",3,10.1016/j.xplc.2023.100552; 10.1371/journal.pone.0116973; 10.1101/gad.1518407
Flowering Time,N023,SVP,GENE,SOC1,GENE,-1,repression,"SVP binds SOC1 regulatory sequences directly, often as a complex with FLC",1,10.1104/pp.112.202614
Flowering Time,N024,Warm_Temperature,ENVIRONMENT,SVP,GENE,-1,repression,Warm ambient temperature triggers rapid SVP protein degradation via the 26S proteasome pathway,1,10.3390/ijms19103196
Flowering Time,N025,Warm_Temperature,ENVIRONMENT,PIF4,GENE,1,activation,Warm temperature releases ELF3/HY5 repression and stabilizes PIF4 via reduced phyB activity,1,10.3390/ijms19103196
Flowering Time,N026,PIF4,GENE,FT,GENE,1,activation,PIF4 binds Block E region of FT promoter,2,10.1016/j.xplc.2023.100552; 10.3390/ijms19103196
Flowering Time,N027,GA20OX,GENE,Gibberellin,HORMONE,1,activation,GA20ox catalyzes the penultimate step in bioactive GA production,1,10.1199/tab.0103
Flowering Time,N028,Gibberellin,HORMONE,GID1,GENE,1,activation,"Bioactive GA binds the GID1 receptor, enabling GID1 to interact with DELLA proteins",1,10.1199/tab.0103
Flowering Time,N029,GID1,GENE,DELLA,PROTEIN_COMPLEX,-1,inhibition,GID1-GA-DELLA complex recruits SCF-SLY1 E3 ligase that polyubiquitinates DELLA for 26S proteasome degradation,1,10.1199/tab.0103
Flowering Time,N030,SLY1,GENE,DELLA,PROTEIN_COMPLEX,-1,inhibition,SLY1 F-box protein recognizes GA-GID1-bound DELLA and triggers its polyubiquitination/degradation,1,10.1104/pp.113.219451
Flowering Time,N031,DELLA,PROTEIN_COMPLEX,SPL9,GENE,-1,inhibition,"DELLA proteins (RGA, GAI) directly bind SPL9 and interfere with SPL9 transcriptional activity",2,10.1105/tpc.112.101014; 10.1105/tpc.112.101014
Flowering Time,N032,DELLA,PROTEIN_COMPLEX,LFY,GENE,-1,repression,"DELLA inhibits LFY transcription, counteracting GA induction",1,10.1105/tpc.106.042317
Flowering Time,N033,DELLA,PROTEIN_COMPLEX,SOC1,GENE,-1,repression,"DELLA represses SOC1 via multiple routes (SPL binding, GAF1 coactivation of repressors, BRM interaction)",1,10.1104/pp.112.202614
Flowering Time,N034,DELLA,PROTEIN_COMPLEX,CO,GENE,-1,inhibition,DELLA binds the CCT domain of CO to inhibit FT induction,1,10.3390/ijms22115716
Flowering Time,N035,DELLA,PROTEIN_COMPLEX,PIF4,GENE,-1,inhibition,DELLA proteins physically bind PIF4 and block DNA binding,1,10.3390/ijms19103196
Flowering Time,N036,GA2OX,GENE,Gibberellin,HORMONE,-1,inhibition,GA2ox catabolizes bioactive GA to inactive forms,1,10.1199/tab.0103
Flowering Time,N037,Sucrose,METABOLITE,miR156,REGULATORY_RNA,-1,repression,Sugar represses MIR156A and MIR156C expression to promote vegetative phase change,1,10.3390/ijms20246166
Flowering Time,N038,miR156,REGULATORY_RNA,SPL9,GENE,-1,repression,miR156 targets SPL9 transcript by cleavage/translational repression,2,10.1016/j.cell.2009.06.031; 10.1105/tpc.112.101014
Flowering Time,N039,SPL9,GENE,miR172,REGULATORY_RNA,1,activation,SPL9 binds upstream of MIR172B promoter (~1.2 kb upstream) and directly transcriptionally activates miR172b,2,10.1016/j.cell.2009.06.031; 10.1105/tpc.112.101014
Flowering Time,N040,miR172,REGULATORY_RNA,AP2,GENE,-1,repression,miR172 targets AP2 transcript,2,10.3390/genes11030319; 10.1105/tpc.112.101014
Flowering Time,N041,AP2,GENE,SOC1,GENE,-1,repression,AP2 directly binds SOC1 upstream region to repress transcription,1,10.1105/tpc.110.075606
Flowering Time,N042,AP2,GENE,AP1,GENE,-1,repression,AP2 binds AP1 regulatory regions (ChIP-seq direct targets),1,10.1105/tpc.110.075606
Flowering Time,N043,FT,GENE,FD,GENE,1,activation,FT binds FD via 14-3-3 proteins to form the florigen activation complex,2,10.3390/ijms22115716; 10.1038/s41586-025-09704-6
Flowering Time,N044,FT,GENE,AP1,GENE,1,activation,FT-FD complex activates AP1 at the shoot apical meristem,1,10.1371/journal.pone.0116973
Flowering Time,N045,FT,GENE,LFY,GENE,1,activation,FT (via FD) indirectly induces LFY; conditional FT knockdown fails to upregulate LFY,1,10.1038/s41467-020-18782-1
Flowering Time,N046,FT,GENE,SOC1,GENE,1,activation,FT protein interacts with FD to activate SOC1 at the shoot apex,1,10.1104/pp.112.202614
Flowering Time,N047,FT,GENE,FUL,GENE,1,activation,FT-FD complex induces FUL transcription at the SAM,1,10.3390/ijms22115716
Flowering Time,N048,FD,GENE,AP1,GENE,1,activation,FD (with FT) activates AP1 at the shoot apex; FD is a bZIP transcription factor,1,10.3390/ijms22115716
Flowering Time,N049,FD,GENE,SOC1,GENE,1,activation,FD-FT complex activates SOC1 at the shoot apical meristem,1,10.3390/ijms22115716
Flowering Time,N050,SOC1,GENE,AGL24,GENE,1,activation,SOC1 directly promotes AGL24 mRNA expression (positive feedback loop),1,10.4161/psb.21552
Flowering Time,N051,SOC1,GENE,LFY,GENE,1,activation,SOC1 directly binds LFY regulatory sequences (ChIP-seq) to activate transcription,1,10.1104/pp.112.202614
Flowering Time,N052,SOC1,GENE,AP1,GENE,1,activation,SOC1 (with AGL24/FUL) upregulates AP1 at the floral meristem,1,10.3389/fpls.2022.852047
Flowering Time,N053,AGL24,GENE,LFY,GENE,1,activation,AGL24 (with SOC1) activates LFY transcription; 35S::LFY rescues agl24 late flowering,1,10.1073/pnas.212624599
Flowering Time,N054,LFY,GENE,AP1,GENE,1,activation,LFY directly activates AP1 transcription; onset of AP1 expression is delayed in lfy mutants,1,10.1105/tpc.11.6.1007
Flowering Time,N055,SPL9,GENE,AP1,GENE,1,activation,SPL9 activates AP1 transcription,1,10.1371/journal.pgen.1006263
Flowering Time,N056,SPL9,GENE,LFY,GENE,1,activation,SPL9 activates LFY transcription,2,10.1371/journal.pgen.1006263; 10.3390/ijms22115716
Flowering Time,N057,SPL9,GENE,SOC1,GENE,1,activation,SPL9 activates SOC1 expression,2,10.1105/tpc.112.101014; 10.1105/tpc.112.101014
Flowering Time,N058,SPL9,GENE,FUL,GENE,1,activation,SPL9 (with SPL2/11/13/15) directly activates FUL expression,2,10.1371/journal.pgen.1006263; 10.1105/tpc.112.101014
Flowering Time,N059,FUL,GENE,AP1,GENE,1,activation,FUL cooperates with SOC1/AGL24 to upregulate floral identity genes,1,10.4161/psb.21552
Flowering Time,N060,FCA,GENE,SVP,GENE,-1,repression,FCA represses SVP; SVP expression is elevated in fca mutants,1,10.1101/gad.1518407
Flowering Time,N061,FVE,GENE,SVP,GENE,-1,repression,FVE represses SVP; SVP expression is elevated in fve mutants,1,10.1101/gad.1518407
Flowering Time,N062,SOC1,GENE,SVP,GENE,-1,repression,SOC1 directly binds SVP regulatory regions to repress it during flowering,1,10.1073/pnas.1409567111
Flowering Time,N063,SVP,GENE,FLC,GENE,1,activation,SVP heterodimerizes with FLC to enhance repression,2,10.1105/tpc.108.063883; 10.1101/gad.1518407
Flowering Time,N064,CDF1,GENE,FT,GENE,-1,repression,CDF proteins directly bind the FT promoter 5' proximal region and repress FT,1,10.1199/tab.0178
Flowering Time,N065,FKF1,GENE,FT,GENE,1,activation,FKF1 phase advance in warm night conditions advances FT induction,1,10.1093/jxb/ert487
Flowering Time,N066,GI,GENE,FT,GENE,1,activation,"GI binds FT promoter near SVP binding sites and neutralizes FT repressors SVP, TEM1, TEM2 by blocking their access, independently of CO",1,10.1073/pnas.1106771108
Flowering Time,N067,Warm_Temperature,ENVIRONMENT,FT,GENE,1,activation,"Warm ambient temperature triggers FT upregulation via multiple routes (H2A.Z eviction, PIF4 activation, SVP degradation, FLM splicing)",1,10.1104/pp.19.00652
Flowering Time,N068,SOC1,GENE,AP2,GENE,-1,repression,SOC1 and AP2 mutually repress each other during floral transition,1,10.1038/s41467-024-51341-6
Flowering Time,N069,Sucrose,METABOLITE,T6P,METABOLITE,1,activation,Sucrose availability strongly correlates with T6P levels; T6P is a sucrose-specific signal,1,10.1093/jxb/ert457
Flowering Time,N070,TPS1,GENE,T6P,METABOLITE,1,activation,TPS1 catalyzes synthesis of trehalose-6-phosphate from UDP-glucose and glucose-6-phosphate,1,10.1105/tpc.19.00837
Flowering Time,N071,T6P,METABOLITE,FT,GENE,1,activation,T6P signaling in leaves is required for FT expression; otsA-complemented tps1 plants restore FT expression,1,10.1105/tpc.19.00837
Flowering Time,N072,GI,GENE,PIF4,GENE,-1,inhibition,GI inhibits PIF4 activity establishing a negative feedback loop in thermomorphogenesis,1,10.1016/j.xplc.2024.100833
Flowering Time,N073,Vernalization,ENVIRONMENT,AGL24,GENE,1,activation,Vernalization (extended cold) upregulates AGL24 expression,1,10.1073/pnas.212624599
Flowering Time,N074,TFL1,GENE,AP1,GENE,-1,repression,TFL1-FD complex directly represses AP1 transcription,1,10.1105/tpc.111.088641
Flowering Time,N075,TFL1,GENE,LFY,GENE,-1,repression,TFL1-FD complex represses LFY by binding G-box/bZIP motifs in the LFY second exon,1,10.1038/s41467-020-18782-1
Flowering Time,N076,AP1,GENE,TFL1,GENE,-1,repression,AP1 directly binds essential cis-regulatory elements in the TFL1 promoter to repress it,1,10.1105/tpc.11.6.1007
Flowering Time,N077,TFL1,GENE,SOC1,GENE,-1,repression,TFL1-FD complex directly represses SOC1 at shared loci,1,10.1038/s41467-020-18782-1
Flowering Time,N078,TFL1,GENE,FD,GENE,1,activation,"TFL1 interacts physically with FD in the nucleus, forming repressor complex",1,10.1105/tpc.111.088641
Flowering Time,N079,TFL1,GENE,Flowering_Time,PHENOTYPE,-1,inhibition,TFL1 maintains inflorescence indeterminacy and delays floral transition; tfl1 mutants flower early,1,10.1105/tpc.111.088641
Flowering Time,N080,AP1,GENE,Flowering_Time,PHENOTYPE,1,activation,AP1 is a floral meristem identity gene promoting flowering,2,10.1371/journal.pgen.1006263; 10.1105/tpc.11.6.1007
Flowering Time,N081,LFY,GENE,Flowering_Time,PHENOTYPE,1,activation,LFY is a floral meristem identity gene promoting flower formation,2,10.1371/journal.pgen.1006263; 10.1105/tpc.106.042317
Flowering Time,N082,SOC1,GENE,Flowering_Time,PHENOTYPE,1,activation,SOC1 integrates photoperiod/GA/vernalization signals to activate meristem identity genes,4,10.1093/jxb/eraa057; 10.1105/tpc.108.063883; 10.1105/tpc.112.101014; 10.1104/pp.112.202614
Flowering Time,N083,TFL1,GENE,FUL,GENE,-1,repression,TFL1-FD complex directly represses FUL,1,10.1038/s41467-020-18782-1
Flowering Time,N084,SOC1,GENE,FUL,GENE,1,activation,SOC1 activates FUL transcription as part of floral transition program,1,10.3389/fpls.2022.852047
Flowering Time,N085,AP2,GENE,miR172,REGULATORY_RNA,-1,repression,AP2 directly represses miR172b transcription (negative feedback loop),1,10.1105/tpc.110.075606
Flowering Time,N086,TPS1,GENE,FT,GENE,1,activation,TPS1 via T6P production in leaves is required for FT expression,1,10.1093/jxb/ert457
Flowering Time,N087,FT,GENE,Flowering_Time,PHENOTYPE,1,activation,FT florigen travels from leaves to shoot apex and forms FT-FD complex to initiate floral transition,4,10.1093/jxb/eraa057; 10.1105/tpc.108.063883; 10.3390/ijms22115716; 10.4161/psb.4.2.7558
